pattern_name,source_file,source_budget,source_pattern_name,ori_idx,target_orientation_deg,start_timing_index,n_trials,steps_str
502,generated_pattern_registration_10budget_600ms_lda.pkl,10,502,2,45.0,1,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch74:dm-1;ch83:dm2 | [4]ch5:dm0;ch20:dm1;ch93:dm2 | [5]ch5:dm1;ch20:dm0;ch93:dm0 | [6]ch20:dm-1;ch25:dm0 | [7]ch20:dm-1;ch25:dm0 | [8]ch54:dm-1 | [9]
5011,generated_pattern_registration_10budget_600ms_lda.pkl,10,5011,11,247.5,2,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch74:dm-1;ch83:dm2 | [4]ch20:dm2;ch93:dm2 | [5]ch20:dm2;ch82:dm0;ch90:dm0;ch91:dm1;ch93:dm-1 | [6]ch20:dm-1;ch25:dm0 | [7]ch20:dm-1;ch25:dm0 | [8]ch20:dm-1;ch25:dm0 | [9]
503,generated_pattern_registration_10budget_600ms_lda.pkl,10,503,3,67.5,3,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch74:dm-1;ch77:dm0;ch83:dm2 | [4]ch5:dm0;ch20:dm2;ch90:dm-1;ch93:dm2 | [5]ch20:dm2;ch36:dm0;ch47:dm-1;ch90:dm1;ch93:dm0 | [6]ch20:dm-1;ch36:dm1 | [7]ch20:dm-1;ch25:dm0 | [8]ch20:dm-1;ch25:dm0 | [9]ch20:dm-1;ch25:dm0
5010,generated_pattern_registration_10budget_600ms_lda.pkl,10,5010,10,225.0,4,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch74:dm-1;ch83:dm2 | [4]ch3:dm-1;ch26:dm2;ch88:dm0;ch93:dm2 | [5]ch5:dm2;ch88:dm0;ch91:dm-1;ch93:dm0 | [6]ch15:dm0;ch93:dm0 | [7]ch20:dm-1;ch25:dm0 | [8]ch20:dm-1;ch25:dm0 | [9]ch20:dm-1;ch25:dm0
500,generated_pattern_registration_10budget_600ms_lda.pkl,10,500,0,0.0,5,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch20:dm0;ch36:dm-1;ch47:dm0;ch90:dm1;ch93:dm1 | [4]ch3:dm0;ch20:dm1;ch36:dm-1;ch88:dm1;ch93:dm1 | [5]ch36:dm-1 | [6]ch52:dm-1 | [7] | [8]ch52:dm-1 | [9]
504,generated_pattern_registration_10budget_600ms_lda.pkl,10,504,4,90.0,6,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch5:dm0;ch9:dm0;ch25:dm0;ch69:dm-1;ch74:dm-1;ch77:dm2;ch83:dm2;ch84:dm0;ch89:dm-1;ch93:dm-1 | [4]ch20:dm2;ch90:dm-1;ch93:dm2 | [5]ch20:dm2;ch47:dm-1;ch90:dm1;ch93:dm0 | [6]ch20:dm-1;ch36:dm1 | [7]ch20:dm-1;ch25:dm0 | [8]ch20:dm-1;ch25:dm0 | [9]ch20:dm-1;ch36:dm1
507,generated_pattern_registration_10budget_600ms_lda.pkl,10,507,7,157.5,7,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch69:dm1;ch83:dm1;ch90:dm1;ch93:dm1 | [4]ch15:dm-1;ch20:dm2;ch26:dm2;ch41:dm-1;ch78:dm0;ch79:dm2;ch82:dm0;ch93:dm-1 | [5]ch20:dm2;ch26:dm2;ch41:dm-1;ch82:dm0;ch87:dm-1;ch88:dm2 | [6]ch54:dm-1 | [7] | [8] | [9]
505,generated_pattern_registration_10budget_600ms_lda.pkl,10,505,5,112.5,8,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch69:dm-1;ch74:dm-1;ch83:dm2;ch84:dm0;ch89:dm0 | [4]ch20:dm2;ch26:dm-1;ch41:dm0;ch69:dm-1;ch91:dm-1;ch92:dm0;ch93:dm2 | [5]ch20:dm2;ch41:dm1;ch88:dm0;ch91:dm-1;ch93:dm2 | [6]ch20:dm2;ch26:dm2;ch52:dm0;ch66:dm-1;ch69:dm0;ch71:dm2;ch72:dm-1;ch93:dm-1 | [7]ch19:dm-1;ch20:dm2;ch26:dm2;ch41:dm-1;ch71:dm2;ch72:dm-1;ch78:dm0;ch82:dm0;ch88:dm0;ch93:dm-1 | [8]ch11:dm1;ch20:dm-1;ch26:dm1;ch52:dm-1;ch72:dm1;ch91:dm1 | [9]
5014,generated_pattern_registration_10budget_600ms_lda.pkl,10,5014,14,315.0,9,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch15:dm-1;ch20:dm2;ch93:dm2 | [4]ch20:dm2;ch41:dm1;ch72:dm-1;ch88:dm0;ch91:dm-1;ch93:dm2 | [5]ch19:dm-1;ch20:dm2;ch26:dm2;ch41:dm-1;ch71:dm2;ch72:dm-1;ch78:dm0;ch82:dm0;ch88:dm2;ch93:dm-1 | [6]ch1:dm0;ch11:dm1;ch15:dm1;ch20:dm-1;ch26:dm1;ch52:dm-1;ch72:dm-1;ch88:dm1 | [7]ch1:dm0;ch11:dm-1;ch19:dm1;ch26:dm1;ch47:dm1;ch52:dm-1;ch71:dm1;ch72:dm-1;ch92:dm1 | [8]ch5:dm-1;ch11:dm-1;ch13:dm1;ch26:dm-1;ch47:dm1;ch52:dm-1;ch72:dm-1;ch88:dm-1;ch91:dm-1;ch92:dm2 | [9]
5012,generated_pattern_registration_10budget_600ms_lda.pkl,10,5012,12,270.0,10,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch9:dm0;ch25:dm0;ch69:dm-1;ch74:dm-1;ch77:dm2;ch83:dm2;ch84:dm0;ch89:dm-1;ch93:dm-1 | [4]ch20:dm2;ch90:dm-1;ch93:dm2 | [5]ch20:dm2;ch47:dm-1;ch90:dm1;ch93:dm0 | [6]ch20:dm-1;ch36:dm1 | [7]ch20:dm-1;ch36:dm1 | [8]ch20:dm-1;ch25:dm0 | [9]ch20:dm-1;ch36:dm1
506,generated_pattern_registration_10budget_600ms_lda.pkl,10,506,6,135.0,11,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch5:dm0;ch14:dm-1;ch15:dm-1;ch69:dm-1;ch74:dm-1;ch83:dm2;ch84:dm0;ch89:dm0;ch93:dm0 | [4]ch20:dm2;ch41:dm0;ch71:dm-1;ch91:dm-1;ch93:dm2 | [5]ch13:dm0;ch19:dm-1;ch20:dm2;ch25:dm-1;ch26:dm2;ch72:dm-1;ch78:dm0;ch79:dm2;ch88:dm0;ch93:dm-1 | [6]ch19:dm-1;ch20:dm2;ch25:dm-1;ch26:dm2;ch71:dm2;ch72:dm-1;ch78:dm0;ch88:dm0;ch93:dm-1 | [7]ch1:dm0;ch20:dm-1;ch25:dm0;ch52:dm-1 | [8]ch20:dm-1 | [9]
509,generated_pattern_registration_10budget_600ms_lda.pkl,10,509,9,202.5,12,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch9:dm0;ch25:dm0;ch36:dm0;ch57:dm-1;ch69:dm-1;ch74:dm1;ch77:dm2;ch83:dm2;ch84:dm0;ch89:dm-1 | [3]ch74:dm-1;ch77:dm-1;ch83:dm2;ch90:dm0 | [4]ch11:dm2;ch93:dm2 | [5]ch15:dm0;ch93:dm0 | [6]ch20:dm-1;ch25:dm0 | [7]ch20:dm1;ch36:dm-1 | [8]ch36:dm-1 | [9]
5013,generated_pattern_registration_10budget_600ms_lda.pkl,10,5013,13,292.5,13,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch5:dm0;ch14:dm-1;ch15:dm-1;ch69:dm-1;ch74:dm-1;ch83:dm2;ch84:dm0;ch89:dm0;ch93:dm0 | [4]ch5:dm-1;ch20:dm2;ch90:dm2;ch93:dm1 | [5]ch5:dm-1;ch11:dm0;ch20:dm2;ch25:dm0;ch26:dm2;ch47:dm-1;ch71:dm-1;ch72:dm0;ch87:dm-1;ch93:dm2 | [6]ch3:dm-1;ch5:dm-1;ch19:dm2;ch20:dm2;ch26:dm2;ch41:dm-1;ch78:dm0;ch82:dm0;ch85:dm-1;ch93:dm1 | [7]ch20:dm-1;ch25:dm0 | [8]ch20:dm-1;ch25:dm0 | [9]ch20:dm-1;ch25:dm0
508,generated_pattern_registration_10budget_600ms_lda.pkl,10,508,8,180.0,14,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch57:dm-1;ch69:dm1;ch83:dm2 | [4]ch20:dm2;ch82:dm0;ch90:dm0;ch91:dm1;ch93:dm-1 | [5]ch20:dm-1;ch25:dm0 | [6]ch54:dm-1 | [7]ch36:dm-1 | [8]ch52:dm-1 | [9]
501,generated_pattern_registration_10budget_600ms_lda.pkl,10,501,1,22.5,15,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch83:dm2;ch89:dm-1 | [4]ch90:dm1;ch93:dm1 | [5]ch5:dm-1;ch11:dm0;ch19:dm0;ch26:dm2;ch41:dm-1;ch54:dm2;ch72:dm-1;ch78:dm0;ch93:dm1 | [6]ch3:dm-1;ch19:dm1;ch26:dm1;ch54:dm1;ch91:dm1;ch93:dm-1 | [7] | [8]ch52:dm-1 | [9]
5015,generated_pattern_registration_10budget_600ms_lda.pkl,10,5015,15,337.5,16,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1;ch89:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [3]ch19:dm0;ch20:dm2;ch25:dm-1;ch52:dm0;ch69:dm1;ch72:dm-1;ch88:dm-1;ch90:dm0;ch91:dm2;ch93:dm-1 | [4]ch9:dm-1;ch11:dm2;ch20:dm2;ch26:dm2;ch71:dm-1;ch78:dm0;ch87:dm-1;ch88:dm0;ch89:dm0;ch93:dm1 | [5]ch13:dm0;ch36:dm-1 | [6]ch54:dm-1 | [7]ch52:dm-1 | [8] | [9]
501002,generated_pattern_registration_4budget_600ms_lda.pkl,4,502,2,45.0,17,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [3]ch9:dm0;ch69:dm-1;ch77:dm2;ch83:dm2 | [4]ch20:dm1;ch93:dm2 | [5]ch20:dm1;ch90:dm0;ch93:dm0 | [6]ch20:dm1;ch36:dm-1 | [7]ch20:dm1;ch36:dm-1 | [8]ch26:dm1;ch36:dm-1;ch54:dm1;ch71:dm1 | [9]ch3:dm-1;ch26:dm1;ch54:dm1;ch93:dm-1
501011,generated_pattern_registration_4budget_600ms_lda.pkl,4,5011,11,247.5,18,1,[0]ch74:dm0;ch77:dm2;ch83:dm2;ch84:dm-1 | [1]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [2]ch69:dm-1;ch74:dm0;ch77:dm2;ch83:dm2 | [3]ch69:dm-1;ch74:dm-1;ch77:dm2;ch83:dm2 | [4]ch20:dm1;ch93:dm2 | [5]ch20:dm2;ch47:dm-1;ch90:dm1;ch93:dm0 | [6]ch20:dm-1;ch54:dm1;ch90:dm1;ch93:dm-1 | [7]ch20:dm-1;ch25:dm0 | [8]ch20:dm-1;ch25:dm0 | [9]ch20:dm-1;ch25:dm0
