model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,history,sweep_name
cnn,0.1681069940328598,0.320679673705266,0.3251422034503794,855999,855999,24,0.593596399737202,0.4727570911147162,0.5264193401287941,36,trial_0000_history=1,completed,1,cnn_history_sweep
cnn,0.1691114430427551,0.3192368816052749,0.3229835029251138,855999,855999,25,0.5893046183891497,0.4727570911147162,0.5179440258224958,33,trial_0001_history=2,completed,2,cnn_history_sweep
cnn,0.1757748732566833,0.2679449893968263,0.2752742372135465,855999,855999,25,0.461120641510969,0.4727570911147162,0.3816945058870123,19,trial_0002_history=3,completed,3,cnn_history_sweep
cnn,0.1773740248680115,0.2557880615793566,0.2585467615765589,855999,855999,23,0.4279475133324058,0.4727570911147162,0.327609361621009,12,trial_0003_history=5,completed,5,cnn_history_sweep
cnn,0.1787833061218261,0.2556631013485345,0.2568228685606636,855999,855999,29,0.432696330602569,0.4727570911147162,0.3208397702226958,11,trial_0004_history=10,completed,10,cnn_history_sweep
cnn,0.1779035413265228,0.2580382574989099,0.2630072352445557,855999,855999,31,0.4557848999118731,0.4727570911147162,0.3105286363346632,8,trial_0005_history=20,completed,20,cnn_history_sweep
cnn,0.1757231785058975,0.2661659766700344,0.266233722622662,855999,855999,33,0.4739370155440446,0.4727570911147162,0.2990944698537533,7,trial_0006_history=30,completed,30,cnn_history_sweep
cnn,0.1748108631372451,0.274536112234412,0.2736413666661954,855999,855999,45,0.4851042910971154,0.4727570911147162,0.2808569850355639,3,trial_0007_history=50,completed,50,cnn_history_sweep
