Electrode,Current_uA,Pulse_Count,IPI_sec
5,4,5,0.1
2,4,10,0.1
1,3,5,0.01
3,5,10,0.01
7,4,4,0.002
10,5,1,NaN
3,3,4,0.01
9,3,2,0.002
5,3,10,0.1
1,3,5,0.1
10,5,4,0.1
1,3,5,0.1
8,3,5,0.01
6,4,1,NaN
2,5,2,0.1
10,3,10,0.01
5,4,10,0.01
3,4,4,0.01
4,4,5,0.01
1,3,2,0.002
6,4,5,0.01
6,4,4,0.002
5,4,2,0.01
5,4,5,0.1
10,3,1,NaN
4,5,4,0.1
5,3,2,0.01
7,5,3,0.002
1,5,3,0.01
1,5,5,0.002
3,3,1,NaN
10,4,3,0.002
2,4,3,0.01
10,5,4,0.002
2,5,4,0.1
5,5,10,0.1
9,4,2,0.1
3,4,2,0.002
3,4,3,0.01
2,5,4,0.01
6,5,2,0.01
9,5,3,0.002
3,3,5,0.002
2,4,4,0.002
10,4,2,0.01
6,3,3,0.002
8,5,5,0.1
9,5,10,0.01
1,4,5,0.01
9,3,4,0.002
5,4,4,0.01
10,4,3,0.002
9,4,5,0.002
9,4,5,0.1
9,4,2,0.002
5,3,3,0.002
6,3,5,0.01
10,4,2,0.002
4,5,1,NaN
9,3,5,0.01
5,4,5,0.1
10,4,5,0.002
3,5,10,0.1
2,4,2,0.002
1,4,10,0.002
4,3,10,0.002
9,4,10,0.01
7,4,5,0.1
9,3,5,0.01
5,4,5,0.1
7,5,4,0.1
1,4,4,0.1
5,3,10,0.01
3,5,3,0.01
1,5,5,0.01
2,5,2,0.1
2,5,5,0.002
3,5,1,NaN
8,4,10,0.01
3,5,4,0.1
10,4,5,0.002
6,4,10,0.002
6,5,3,0.01
10,4,4,0.1
5,5,2,0.1
10,4,10,0.01
8,5,4,0.002
2,5,2,0.01
5,3,4,0.01
10,5,10,0.01
7,4,2,0.1
7,4,3,0.002
10,3,5,0.01
2,3,5,0.01
4,4,3,0.01
7,3,2,0.1
3,3,4,0.1
3,3,10,0.01
6,4,5,0.002
3,5,10,0.01
8,5,4,0.01
6,5,2,0.1
3,5,5,0.1
4,5,10,0.1
5,4,2,0.002
7,4,3,0.002
3,4,2,0.1
8,4,4,0.01
2,3,5,0.01
2,4,4,0.002
1,3,2,0.01
10,5,4,0.01
8,4,10,0.01
9,5,2,0.1
7,5,2,0.1
10,4,3,0.1
5,3,4,0.1
2,4,3,0.002
3,3,10,0.002
2,5,4,0.01
8,4,5,0.1
7,4,4,0.1
1,4,5,0.1
10,5,1,NaN
10,3,4,0.002
3,4,2,0.01
7,4,4,0.002
7,4,10,0.002
4,4,5,0.01
6,5,2,0.01
9,3,5,0.002
4,5,3,0.1
6,4,4,0.01
4,4,10,0.01
1,3,10,0.01
6,4,10,0.1
2,3,1,NaN
7,3,1,NaN
3,5,5,0.01
10,4,3,0.1
1,4,2,0.002
8,4,3,0.1
7,4,3,0.01
8,5,3,0.002
1,3,4,0.01
9,4,3,0.01
5,5,10,0.1
7,4,4,0.002
7,5,5,0.1
9,3,10,0.1
7,4,3,0.002
5,3,4,0.002
4,4,4,0.1
5,5,2,0.1
7,5,10,0.002
6,3,1,NaN
3,4,10,0.1
7,3,5,0.002
1,3,4,0.1
4,4,3,0.002
2,3,5,0.002
5,3,3,0.002
5,4,2,0.002
10,3,5,0.01
9,4,4,0.01
2,5,5,0.1
3,4,10,0.01
8,3,10,0.1
9,5,10,0.01
1,4,3,0.1
2,5,10,0.1
6,5,10,0.01
10,3,2,0.1
8,4,3,0.002
9,5,3,0.002
6,3,2,0.1
8,5,2,0.002
2,5,4,0.002
9,3,4,0.1
2,5,4,0.01
1,3,2,0.1
5,5,5,0.1
7,4,1,NaN
7,5,3,0.1
4,3,4,0.1
5,4,1,NaN
4,4,5,0.002
5,3,2,0.1
6,3,10,0.1
10,3,10,0.1
2,3,3,0.1
8,4,4,0.002
8,4,2,0.002
7,5,10,0.1
1,3,3,0.002
2,3,3,0.01
5,3,2,0.002
7,4,4,0.01
10,3,3,0.01
9,3,2,0.1
10,5,5,0.002
2,3,5,0.002
10,3,1,NaN
4,4,10,0.1
4,3,5,0.01
9,5,2,0.002
3,4,3,0.01
1,3,4,0.01
8,5,2,0.01
9,4,2,0.002
6,4,5,0.002
9,3,4,0.01
10,4,3,0.1
2,3,4,0.01
10,3,2,0.002
4,3,4,0.002
6,4,3,0.01
4,3,2,0.01
4,3,5,0.01
6,5,10,0.1
6,5,2,0.002
8,4,4,0.1
2,4,2,0.01
4,5,4,0.01
8,5,10,0.1
9,5,5,0.1
6,5,4,0.1
8,5,4,0.1
3,4,2,0.1
6,4,3,0.002
10,3,4,0.002
7,3,3,0.01
4,5,10,0.1
8,5,10,0.1
5,4,3,0.01
6,5,3,0.01
2,4,1,NaN
2,5,2,0.01
7,5,5,0.002
10,3,5,0.1
7,3,10,0.002
7,3,2,0.1
2,3,3,0.1
5,4,5,0.1
4,5,5,0.1
7,5,2,0.002
5,5,4,0.1
9,3,2,0.002
6,5,4,0.002
9,4,3,0.01
3,4,10,0.002
9,3,3,0.002
8,4,4,0.1
6,5,4,0.1
10,3,3,0.01
2,4,3,0.1
4,4,5,0.01
8,3,5,0.1
9,4,5,0.1
1,5,3,0.002
6,3,4,0.01
2,4,1,NaN
6,4,5,0.01
7,5,3,0.01
2,5,5,0.01
2,4,10,0.1
6,5,5,0.1
8,5,4,0.002
9,4,1,NaN
2,3,4,0.1
9,3,3,0.01
5,5,2,0.01
8,4,3,0.1
3,5,4,0.002
8,3,3,0.01
2,4,5,0.1
7,3,4,0.01
10,5,10,0.01
9,5,3,0.01
5,4,3,0.1
8,3,5,0.1
4,4,4,0.01
5,3,3,0.002
7,4,2,0.002
6,3,5,0.01
8,5,10,0.1
3,5,4,0.01
9,4,5,0.1
3,4,4,0.01
3,4,5,0.01
5,5,10,0.1
4,4,10,0.01
2,5,3,0.1
7,4,2,0.002
9,3,5,0.1
1,5,2,0.1
2,4,4,0.002
5,3,2,0.01
4,3,2,0.1
3,5,10,0.002
2,3,10,0.002
8,3,10,0.002
9,5,2,0.002
9,5,2,0.002
5,3,2,0.01
3,4,5,0.002
2,3,2,0.01
10,4,5,0.01
7,5,5,0.002
2,3,4,0.002
3,3,5,0.1
9,4,4,0.002
3,3,3,0.002
4,3,5,0.1
7,3,4,0.01
3,3,4,0.1
4,3,2,0.01
6,5,1,NaN
2,3,2,0.01
3,3,1,NaN
2,3,2,0.1
6,3,3,0.002
8,3,3,0.002
5,5,4,0.01
3,5,1,NaN
6,3,4,0.01
8,3,2,0.01
2,4,4,0.01
8,3,5,0.01
5,4,1,NaN
3,4,1,NaN
8,5,2,0.002
2,5,2,0.002
5,3,10,0.01
1,3,10,0.01
3,3,10,0.01
7,3,10,0.002
5,5,3,0.1
3,4,4,0.01
1,3,10,0.1
6,3,10,0.1
3,4,3,0.01
9,5,3,0.1
2,4,3,0.1
8,5,4,0.1
4,5,2,0.1
8,5,3,0.01
10,5,2,0.01
1,5,1,NaN
5,5,5,0.01
2,4,10,0.01
3,5,4,0.01
6,3,5,0.01
3,4,5,0.01
7,5,1,NaN
4,4,5,0.01
4,3,3,0.1
4,4,2,0.1
4,4,3,0.002
4,4,4,0.1
10,3,2,0.01
7,5,10,0.1
10,5,2,0.01
4,3,5,0.01
9,4,5,0.01
2,4,10,0.002
7,3,2,0.1
10,4,4,0.1
8,5,5,0.01
6,4,3,0.002
5,4,4,0.1
2,3,10,0.01
2,3,10,0.002
3,5,2,0.002
7,4,2,0.1
10,3,10,0.01
9,5,4,0.01
2,5,2,0.002
2,4,3,0.002
10,5,10,0.1
7,4,5,0.1
3,5,2,0.1
5,3,4,0.01
5,4,10,0.002
1,5,5,0.1
10,4,10,0.1
1,4,4,0.002
9,4,2,0.002
8,4,5,0.002
6,5,5,0.01
10,4,3,0.1
8,5,5,0.1
6,3,4,0.01
4,4,2,0.002
5,5,4,0.1
3,5,3,0.1
2,5,2,0.1
9,3,10,0.1
8,5,10,0.002
7,4,4,0.01
6,3,2,0.002
3,5,2,0.1
6,5,4,0.01
3,5,10,0.002
7,5,10,0.01
5,3,2,0.01
9,3,3,0.002
1,4,4,0.01
8,5,5,0.01
4,5,2,0.002
6,4,2,0.002
9,3,4,0.01
2,5,10,0.01
5,4,10,0.01
2,4,3,0.1
10,3,5,0.1
10,5,1,NaN
1,3,5,0.1
5,5,3,0.002
3,4,4,0.002
8,4,3,0.01
5,5,2,0.01
9,5,1,NaN
8,5,5,0.002
2,4,5,0.002
1,4,2,0.002
1,5,10,0.01
2,5,10,0.002
7,3,10,0.01
1,4,3,0.1
2,5,3,0.1
1,4,4,0.01
4,5,10,0.01
1,4,2,0.01
7,4,4,0.002
8,3,4,0.01
9,3,3,0.1
5,3,1,NaN
7,4,10,0.01
10,5,2,0.01
3,5,4,0.002
7,3,10,0.01
10,4,3,0.002
7,3,4,0.002
2,5,2,0.1
2,5,5,0.002
7,5,2,0.01
10,5,5,0.01
7,3,3,0.1
7,5,3,0.1
6,3,5,0.002
4,5,2,0.002
8,3,10,0.01
2,5,1,NaN
5,4,4,0.1
5,4,3,0.002
6,3,4,0.1
7,4,3,0.01
10,5,10,0.002
5,5,10,0.01
7,3,10,0.01
1,3,4,0.002
8,3,2,0.002
8,3,5,0.1
9,5,2,0.1
2,5,10,0.002
2,3,1,NaN
4,4,5,0.1
4,3,10,0.1
9,3,3,0.002
2,5,5,0.002
6,5,5,0.002
2,3,2,0.002
6,4,2,0.002
2,3,1,NaN
2,3,4,0.01
5,3,2,0.002
4,3,10,0.01
2,3,5,0.1
7,4,4,0.1
1,5,3,0.01
4,4,3,0.1
10,5,2,0.01
4,4,3,0.002
8,5,2,0.1
7,5,4,0.01
2,4,2,0.1
8,4,10,0.002
10,4,3,0.01
2,3,3,0.002
3,3,10,0.1
6,4,5,0.1
4,5,1,NaN
9,5,5,0.002
4,5,1,NaN
4,4,2,0.1
7,4,4,0.01
4,4,4,0.01
7,4,10,0.1
5,4,2,0.1
1,4,4,0.01
2,4,1,NaN
4,3,10,0.002
9,5,1,NaN
7,4,5,0.01
3,5,2,0.002
6,3,2,0.01
6,3,4,0.01
8,4,10,0.01
10,4,2,0.002
2,5,4,0.002
9,5,4,0.002
2,4,3,0.002
10,4,4,0.01
10,3,1,NaN
3,5,4,0.002
1,3,2,0.1
4,4,4,0.002
3,3,5,0.01
8,3,10,0.01
3,3,10,0.1
6,4,10,0.002
6,5,3,0.002
7,4,3,0.01
7,5,10,0.002
4,3,1,NaN
2,5,10,0.01
9,3,3,0.1
7,4,3,0.1
8,3,3,0.002
6,5,2,0.01
5,3,4,0.1
4,3,4,0.1
1,4,3,0.01
6,3,4,0.002
10,4,3,0.002
4,4,4,0.002
6,4,3,0.01
3,4,3,0.01
4,3,3,0.01
8,3,10,0.01
7,5,5,0.1
3,5,4,0.002
1,3,10,0.1
6,3,3,0.01
3,3,10,0.1
6,3,4,0.1
1,5,10,0.002
5,3,5,0.01
4,3,4,0.002
2,4,2,0.002
7,3,10,0.002
8,4,4,0.002
9,5,4,0.1
8,3,10,0.1
7,4,2,0.01
9,5,3,0.01
6,4,3,0.1
8,4,5,0.002
1,4,2,0.1
3,5,10,0.002
5,4,5,0.1
8,5,2,0.1
2,5,5,0.1
1,3,2,0.01
9,3,5,0.01
4,4,4,0.01
6,5,3,0.1
6,4,2,0.01
4,3,2,0.002
9,3,5,0.1
1,3,5,0.1
8,3,5,0.01
9,4,10,0.002
10,5,4,0.01
5,4,5,0.01
6,3,3,0.01
4,5,2,0.1
2,5,2,0.002
10,5,5,0.002
1,4,2,0.1
6,5,10,0.1
5,4,1,NaN
1,4,2,0.01
4,4,2,0.1
9,5,5,0.01
8,5,10,0.1
4,4,2,0.1
2,5,10,0.1
10,5,10,0.002
10,4,3,0.002
1,4,10,0.01
2,4,5,0.002
2,3,2,0.01
6,5,4,0.01
8,3,3,0.1
4,5,3,0.1
5,3,5,0.1
3,5,10,0.01
5,5,4,0.01
10,3,2,0.002
6,3,3,0.1
7,4,5,0.002
7,3,3,0.002
9,5,3,0.01
1,3,5,0.01
4,4,4,0.1
7,5,4,0.1
6,5,10,0.002
1,5,4,0.002
6,4,2,0.01
8,3,10,0.1
1,4,4,0.01
6,4,2,0.1
7,5,4,0.1
6,3,5,0.01
1,3,3,0.1
7,3,5,0.1
1,5,2,0.1
5,5,5,0.002
2,4,3,0.01
5,3,2,0.1
5,3,3,0.01
6,5,10,0.01
5,5,10,0.002
2,5,4,0.1
2,4,2,0.01
2,4,10,0.002
10,4,3,0.01
6,4,4,0.002
7,3,2,0.01
6,3,10,0.1
8,5,10,0.002
3,4,2,0.01
4,5,3,0.1
7,5,5,0.01
9,4,10,0.01
4,4,4,0.002
8,5,1,NaN
7,3,1,NaN
10,3,3,0.01
5,4,3,0.1
2,5,2,0.01
7,4,4,0.1
7,4,5,0.1
1,3,5,0.1
4,5,2,0.01
7,3,3,0.002
7,5,5,0.1
2,3,10,0.002
4,4,4,0.1
4,5,5,0.1
10,3,4,0.1
6,4,2,0.01
7,5,3,0.01
8,4,3,0.002
3,5,5,0.1
9,3,2,0.01
6,5,5,0.002
1,4,1,NaN
9,4,1,NaN
1,5,3,0.1
4,5,4,0.01
3,3,4,0.002
2,3,5,0.1
8,5,5,0.002
3,5,10,0.01
7,4,4,0.1
6,3,2,0.01
7,4,5,0.002
9,5,3,0.01
5,3,4,0.1
3,4,5,0.01
7,3,2,0.1
3,3,4,0.1
5,4,5,0.002
2,4,10,0.1
5,4,2,0.1
2,4,5,0.1
1,4,10,0.1
1,3,4,0.01
9,4,2,0.1
10,5,2,0.002
8,3,4,0.01
5,5,5,0.1
8,3,2,0.01
10,3,4,0.002
8,5,4,0.01
2,4,5,0.01
8,3,3,0.1
1,4,5,0.002
9,3,10,0.01
7,5,5,0.002
7,4,4,0.1
5,4,2,0.1
6,4,5,0.002
10,4,4,0.01
10,5,2,0.002
2,3,4,0.002
5,5,3,0.002
3,5,3,0.1
4,3,10,0.002
6,5,10,0.01
9,4,5,0.01
3,4,5,0.002
2,5,5,0.01
2,5,1,NaN
1,3,2,0.1
8,3,4,0.01
6,5,5,0.002
2,4,4,0.01
5,4,3,0.1
8,5,10,0.01
2,5,3,0.1
2,3,5,0.1
8,3,4,0.01
4,3,5,0.1
1,3,1,NaN
8,5,3,0.002
7,4,10,0.01
2,3,2,0.1
7,4,2,0.002
9,4,5,0.002
5,3,2,0.01
7,3,2,0.002
8,4,5,0.01
3,4,3,0.01
8,5,10,0.1
5,5,10,0.1
10,3,2,0.01
1,3,3,0.1
8,5,4,0.01
4,5,3,0.002
7,4,10,0.01
7,3,1,NaN
6,3,10,0.1
2,5,5,0.002
8,4,10,0.1
6,3,1,NaN
3,3,10,0.01
2,5,2,0.002
9,4,10,0.002
10,4,4,0.002
3,3,3,0.1
3,3,2,0.1
9,5,5,0.1
6,3,3,0.1
3,4,2,0.002
5,4,10,0.01
9,5,2,0.01
9,5,2,0.01
10,5,4,0.002
2,3,3,0.1
1,3,10,0.002
7,3,2,0.002
3,4,3,0.1
4,4,1,NaN
2,4,3,0.1
7,3,3,0.1
7,3,2,0.01
2,3,1,NaN
9,3,5,0.1
1,5,4,0.01
8,5,2,0.01
1,4,4,0.1
6,4,5,0.002
6,4,10,0.002
7,4,4,0.002
2,4,10,0.01
1,4,3,0.1
3,4,4,0.002
5,5,5,0.1
9,5,10,0.1
2,5,4,0.002
6,3,5,0.01
2,4,5,0.1
9,5,5,0.01
4,4,5,0.002
4,5,4,0.1
1,4,3,0.1
8,3,2,0.01
9,4,3,0.01
4,4,4,0.002
2,3,4,0.1
5,4,3,0.1
7,3,5,0.002
10,5,1,NaN
7,4,4,0.1
1,4,1,NaN
7,3,10,0.002
3,4,5,0.1
3,3,2,0.002
8,3,5,0.002
5,3,2,0.002
4,4,2,0.002
4,5,5,0.1
4,4,3,0.1
3,3,2,0.1
7,4,10,0.01
7,4,4,0.01
7,5,3,0.002
7,3,5,0.01
4,4,5,0.002
7,4,10,0.01
4,4,5,0.002
4,3,1,NaN
9,3,5,0.01
3,5,3,0.1
9,3,3,0.1
7,5,10,0.01
8,5,2,0.002
9,4,2,0.1
8,5,10,0.01
5,4,3,0.1
7,5,10,0.002
3,5,3,0.01
6,3,4,0.002
4,3,2,0.01
9,4,2,0.01
2,4,3,0.01
5,5,3,0.002
4,3,3,0.1
4,5,3,0.01
2,4,5,0.002
9,4,2,0.002
4,4,10,0.1
6,4,4,0.01
1,5,5,0.1
4,4,2,0.01
7,3,10,0.002
10,3,3,0.1
7,3,5,0.1
10,3,4,0.01
7,3,10,0.1
5,3,3,0.01
6,4,4,0.01
3,5,4,0.1
7,4,4,0.01
8,5,1,NaN
3,5,2,0.002
1,4,4,0.002
8,3,10,0.1
10,3,4,0.002
3,4,5,0.002
2,4,2,0.01
8,5,4,0.002
10,4,10,0.01
5,4,4,0.002
4,4,2,0.1
1,5,2,0.1
1,3,4,0.002
3,5,3,0.1
10,4,2,0.1
5,5,2,0.01
2,3,2,0.01
2,4,4,0.002
1,5,4,0.01
2,3,10,0.01
7,4,5,0.1
10,3,2,0.1
9,5,2,0.1
9,4,4,0.002
6,5,5,0.002
1,4,2,0.01
10,5,5,0.1
2,3,2,0.002
2,3,2,0.01
4,5,1,NaN
8,5,2,0.1
1,3,2,0.01
8,3,10,0.002
1,3,5,0.002
1,3,3,0.002
3,5,10,0.1
5,4,10,0.002
8,4,5,0.002
8,4,5,0.01
6,3,5,0.002
7,5,1,NaN
8,4,10,0.01
3,5,4,0.01
7,5,4,0.1
6,5,10,0.002
10,3,2,0.01
1,5,5,0.01
4,4,2,0.002
5,5,4,0.002
1,4,1,NaN
7,3,2,0.01
10,4,3,0.01
10,4,4,0.002
9,3,4,0.01
4,3,4,0.1
4,5,3,0.01
5,5,3,0.1
9,4,3,0.01
10,4,10,0.1
5,5,4,0.1
4,4,2,0.1
9,3,10,0.01
5,4,5,0.01
10,4,3,0.01
7,3,10,0.1
3,4,10,0.1
7,4,1,NaN
10,4,4,0.1
7,3,4,0.1
5,4,2,0.002
8,3,10,0.1
6,4,10,0.1
9,3,4,0.1
7,5,5,0.002
10,3,5,0.1
8,5,4,0.1
7,3,2,0.002
8,4,5,0.01
6,5,3,0.002
10,5,4,0.002
10,4,10,0.01
1,5,2,0.01
10,4,10,0.1
4,3,2,0.1
5,3,4,0.1
10,3,3,0.1
10,3,2,0.01
10,4,2,0.01
10,3,5,0.01
5,3,4,0.002
5,5,3,0.002
4,4,3,0.01
5,4,5,0.002
2,5,1,NaN
7,3,4,0.1
2,4,2,0.1
4,3,3,0.01
10,5,10,0.1
7,4,5,0.01
9,4,4,0.002
1,3,3,0.1
10,4,2,0.1
8,4,3,0.002
7,5,2,0.002
5,5,2,0.002
5,4,3,0.01
2,5,1,NaN
8,4,2,0.002
1,4,3,0.1
3,3,3,0.002
5,3,4,0.002
10,5,5,0.002
3,3,4,0.002
6,4,1,NaN
8,5,1,NaN
3,3,1,NaN
10,5,5,0.1
4,5,4,0.01
6,5,10,0.002
4,5,3,0.01
2,4,10,0.01
7,5,10,0.002
1,3,10,0.1
6,5,2,0.002
7,3,10,0.1
7,3,3,0.01
2,5,3,0.1
10,3,4,0.002
9,5,3,0.01
6,4,5,0.1
1,4,10,0.01
2,3,2,0.01
2,5,4,0.01
6,5,5,0.01
2,3,4,0.1
9,3,10,0.01
7,5,3,0.01
1,3,3,0.1
10,5,10,0.01
5,4,4,0.1
8,5,4,0.01
7,5,3,0.01
2,3,4,0.002
2,3,4,0.1
8,4,10,0.01
1,3,3,0.01
9,5,4,0.1
10,4,3,0.1
7,3,4,0.01
6,5,4,0.002
8,3,3,0.002
7,5,4,0.1
8,5,4,0.1
4,3,10,0.1
9,5,3,0.002
6,3,10,0.002
6,3,2,0.002
9,4,3,0.01
10,3,10,0.1
7,4,10,0.1
5,5,10,0.1
2,3,3,0.01
1,3,3,0.1
5,5,3,0.01
1,5,3,0.002
5,4,5,0.01
8,3,1,NaN
6,4,3,0.1
6,3,4,0.1
5,3,1,NaN
9,5,4,0.002
8,4,2,0.002
5,3,2,0.002
3,4,2,0.1
3,4,5,0.002
8,3,4,0.1
6,3,1,NaN
3,4,5,0.002
10,5,3,0.002
3,5,5,0.01
4,4,3,0.002
1,3,3,0.002
10,5,1,NaN
2,5,2,0.01
10,4,2,0.002
6,5,10,0.1
2,4,2,0.1
10,3,1,NaN
5,3,4,0.1
5,3,4,0.1
8,4,3,0.002
10,4,4,0.002
9,5,10,0.002
6,3,2,0.1
5,5,2,0.1
4,5,2,0.01
5,4,5,0.1
8,4,2,0.01
9,3,4,0.002
8,3,1,NaN
2,5,5,0.002
3,3,5,0.1
8,4,5,0.1
10,4,5,0.002
7,3,5,0.01
10,5,10,0.002
8,4,3,0.01
2,4,5,0.01
10,4,5,0.1
7,3,2,0.01
10,5,5,0.1
5,4,5,0.01
7,3,2,0.002
3,5,2,0.1
1,5,1,NaN
2,3,2,0.002
8,4,10,0.002
6,3,5,0.1
2,5,2,0.01
6,5,2,0.01
1,3,5,0.002
6,5,4,0.01
4,3,4,0.1
5,4,5,0.01
10,4,3,0.01
9,4,5,0.002
5,4,5,0.002
3,5,3,0.01
6,5,4,0.1
7,5,5,0.1
9,5,10,0.01
5,3,2,0.1
7,5,10,0.002
2,4,3,0.002
2,4,4,0.002
1,5,3,0.002
3,4,5,0.01
5,3,2,0.01
1,3,3,0.01
